date,signal,option,strike,entry_logged,entry_actual,exit_logged,exit_actual,result,pnl_logged,pnl_actual,notes
2026-06-15,BUY,NIFTY2661623750CE,23750,235.25,235.25,207.40,207.40,SL_HIT,-1810.25,-1810.25,PAPER - signal 10:30 entry 10:35 - SL hit 12:16 (-27.85 pts) - SELL signal 12:05 skipped (in trade) - no 2nd trade (no new crossover) - EMA stayed below VWAP all day
2026-06-16,BUY,NIFTY2661623700CE,23700,235.40,235.40,210.30,210.30,SL_HIT,-1631.50,-1631.50,PAPER - signal 09:50 (sep +2.1) entry 09:55 - SL 10:03 (-25.1 pts) - thin crossover in morning chop
2026-06-16,SELL,NIFTY2661624150PE,24150,246.90,246.90,221.35,221.35,SL_HIT,-1660.75,-1660.75,PAPER - signal 10:00 (sep -3.9) entry 10:05 - SL 10:20 (-25.5 pts) - 2nd SL = max trades hit bot stopped 10:20 - both early/thin = validates Jun15 backtest (before-10:00 money pit) - day -3292.25
2026-06-17,SELL,NIFTY2662324200PE,24200,261.20,261.20,236.20,236.20,SL_HIT,-1625.00,-1625.00,"PAPER - signal 12:20 (sep -3.9) entry 12:25 @ 261.20 - SL hit 14:58 (-25.0 pts) - 24200 PE ITM ~156pts delta~0.7 - chopped flat ~2.5hrs then Nifty rose late = PE SL. 09:30 BUY blocked pre-10am (would-be win, see skipped CSV); 14:55 BUY blocked post-14:30. Telegram down all day (India ban)."
2026-06-24,BUY,NIFTY26JUN23700CE,23700,272.05,272.05,346.85,346.85,TRAILING_SL,4862.00,4862.00,"PAPER - signal 10:00 (sep +5.4) entry 10:05 @ 272.05 - trailing SL exit 12:09 +74.8 pts - 23700 CE monthly ITM ~194pts - strong morning uptrend (EMA-VWAP to +82) - first-trade profit = no 2nd trade, bot stopped 12:10. 2 pre-10am signals blocked (09:25 BUY would-win, 09:45 SELL would-lose). Telegram down (India ban)."
2026-06-25,SELL,NIFTY26JUN24400PE,24400,250.00,250.00,300.00,300.00,TRAILING_SL,3142.75,3142.75,"PAPER - signal 14:05 (sep -0.6) entry 14:10 @ 250.00 - trailing SL exit 14:35 +50.0 pts (locked breakeven+50) - 24400 PE monthly, delta-mode went deeper ITM (24350 prem 209.7<220 -> 24400 @250) ITM ~178pts - Nifty fell 24172->24120 (-50) after 14:05 cross - first-trade profit = no 2nd trade. 1 pre-10am signal blocked (09:45 BUY would-win, see skipped CSV). Telegram BACK ONLINE (ban lifted/working today)."
2026-06-29,BUY,NIFTY26JUN23850CE,23850,258.05,257.25,232.00,231.95,SL_HIT,-1693.25,-1644.50,"PAPER - signal 09:45 (sep +3.6) entry 09:50 @ 257.25 - SL hit 10:05 (-25.3 pts) - 23850 CE monthly, delta-mode went deeper ITM (23900 prem 215.15<220 -> 23850 @258) ITM ~232pts - thin morning cross at +3.6, Nifty faded 24082->24070 after 09:45 - first-trade loss = day done. Telegram working both bots."
2026-06-30,BUY,NIFTY26JUN23700CE,23700,227.50,228.00,202.65,202.84,SL_HIT,-1615.25,-1635.56,"PAPER - signal 10:45 (sep +0.3) entry 10:50 @ 228.00 - SL hit 10:57 (-25.2 pts) - 23700 CE monthly, delta-mode went deeper ITM (23750 prem 180.55<220 -> 23700 @227.50) ITM ~215pts - razor-thin cross at +0.26, faded immediately. First-trade loss = day done. 2nd straight SL on a thin morning cross. Telegram working both bots."
2026-07-01,BUY,NIFTY2670723750CE,23750,301.15,301.68,300.50,299.25,SL_HIT,-42.25,-157.63,"PAPER - signal 09:35 (sep +2.75) entry 09:40 @ 301.68 - BE SL hit 10:43 (-2.43 pts slippage) - 23750 CE weekly Jul 7, delta-mode 190 ITM - price reached +50 at 10:19 (BE locked), then faded. First-trade loss = day done. Telegram working both bots."
2026-07-02,BUY,NIFTY2670723950CE,23950,275.30,275.75,249.85,249.00,SL_HIT,-1654.25,-1738.75,"PAPER - signal 09:35 (sep +5.49) entry 09:40 @ 275.75 - SL hit 10:02 (-26.75 pts) - 23950 CE weekly Jul 7, delta-mode 198 ITM - no BE triggered, SL hit in 22 min. First-trade loss = day done. Telegram working both bots."
2026-07-03,BUY,NIFTY2670724150CE,24150,240.40,240.15,215.10,212.00,SL_HIT,-1644.50,-1829.75,"PAPER - signal 10:25 (sep +1.34) entry 10:30 @ 240.15 - SL hit 13:06 (-28.15 pts) - 24150 CE weekly Jul 7, delta-mode 195 ITM - no BE triggered, held 2h36m before SL. T1 loss (post-10am) should have allowed T2, but 13:10 SELL signal order FAILED - Zerodha rejected with 'NFO is disabled for your account' (segment deactivated, not a market loss). No T2 trade occurred - account-level block, needs reactivation via Zerodha Console before next session."
2026-07-06,BUY,NIFTY2670724150CE,24150,232.00,232.00,282.70,282.70,TARGET_HIT,3295.50,3295.50,"PAPER - signal 09:35 (sep +3.24) entry 09:40 @ 232.00 - TARGET hit 12:00 (+50.70 pts) - 24150 CE weekly Jul 7, delta-mode 222 ITM (deeper ITM, 24200 prem 188.05<220 -> 24150 @232) - ran straight to target, no SL/BE test. First trade under new v3.0 fixed target/SL rules (LOT_SIZE=195/3 lots, MAX_TRADES=1, target +50/SL -25). Actual 3-lot PnL +9886.50; row shown at 1-lot equivalent."
2026-07-07,BUY,NIFTY2670724200CE,24200,260.20,260.20,310.35,310.35,TARGET_HIT,3259.75,3259.75,"PAPER - signal 09:45 (sep +0.10, razor-thin cross) entry 09:50 @ 260.20 - TARGET hit 11:13 (+50.15 pts) - 24200 CE weekly Jul 7 (expiry day), delta-mode 266 ITM (deeper ITM, 24300 prem 164.05<220, 24250 prem 211.55<220 -> 24200 @260.20) - thin crossover but ran to target in 83 min. LOT_SIZE=195 (3 lots), MAX_TRADES=1 (v3.0 fixed target rules). Actual 3-lot PnL +9779.25; row shown at 1-lot equivalent."
2026-07-08,SELL,NIFTY2671424400PE,24400,264.25,264.25,238.85,238.85,SL_HIT,-1650.00,-1651.00,"PAPER - signal 09:40 (sep -4.56) entry 09:45 @ 264.25 - SL hit 09:53 (-25.40 pts, only 8 min held) - 24400 PE weekly Jul 14, delta-mode 174 ITM (single-strike select, no deepening needed). Fast SL - crossover reversed almost immediately after entry. LOT_SIZE=195 (3 lots), MAX_TRADES=1 (v3.0 fixed target rules). Actual 3-lot PnL -4953.00; row shown at 1-lot equivalent."
